artifact_path,completed_at,objective_loss,param_castellatedMeshControls.nCellsBetweenLevels,param_refinementRegions.distance_mode,param_refinementSurfaces.pipe_level_mode,param_snapControls.nSmoothPatch,param_snapControls.tolerance_mode,status,trial_id
state/trials/trial_1/ingest_payload.json,1773427188.1303082,102500.5,1,4,1,6,1,ok,1
state/trials/trial_2/ingest_payload.json,1773427522.1515253,40353.0,3,1,1,7,1,ok,2
state/trials/trial_3/ingest_payload.json,1773427879.824062,21469.5,3,3,1,7,3,ok,3
state/trials/trial_4/ingest_payload.json,1773428751.3137753,144219.6,1,4,2,7,2,ok,4
state/trials/trial_5/ingest_payload.json,1773429032.2865794,429458.0,1,1,1,7,2,ok,5
state/trials/trial_6/ingest_payload.json,1773429336.6772625,107606.0,2,1,1,7,2,ok,6
state/trials/trial_7/ingest_payload.json,1773430534.0941725,82941.3,3,2,2,5,1,ok,7
state/trials/trial_8/ingest_payload.json,1773430836.1343672,9.0,2,2,1,6,3,ok,8
state/trials/trial_9/ingest_payload.json,1773431109.710993,31508.5,1,1,1,6,3,ok,9
state/trials/trial_10/ingest_payload.json,1773431391.0149117,90375.0,1,3,1,7,3,ok,10
state/trials/trial_11/ingest_payload.json,1773431670.9010375,90375.0,1,1,1,7,3,ok,11
state/trials/trial_12/ingest_payload.json,1773431946.4982018,161572.5,1,2,1,6,2,ok,12
state/trials/trial_13/ingest_payload.json,1773432249.723697,20424.0,2,2,1,7,3,ok,13
state/trials/trial_14/ingest_payload.json,1773433304.2545419,60868.700000000004,2,2,2,6,3,ok,14
state/trials/trial_15/ingest_payload.json,1773433606.0040376,9.0,2,1,1,5,2,ok,15
state/trials/trial_16/ingest_payload.json,1773433906.607834,9.0,2,3,1,5,2,ok,16
state/trials/trial_17/ingest_payload.json,1773434209.6404123,16213.0,2,3,1,6,2,ok,17
state/trials/trial_18/ingest_payload.json,1773434468.9434264,10100.0,1,1,1,5,1,ok,18
state/trials/trial_19/ingest_payload.json,1773434744.236149,9907.5,1,3,1,5,2,ok,19
state/trials/trial_20/ingest_payload.json,1773435005.604831,102500.5,1,1,1,6,1,ok,20
state/trials/trial_21/ingest_payload.json,1773435880.321573,144219.6,1,1,2,7,2,ok,21
